Comment,Designator,Footprint,LCSC,Quantity
22pF,C6,C_0805_2012Metric,C105623,1
1uF,"C5,C8",C_0805_2012Metric,C106838,2
0.47uF,C9,C_0805_2012Metric,C106843,1
47nF,C16,C_0805_2012Metric,C107154,1
47k,R15,R_0805_2012Metric,C126351,1
49.9,"R12,R13,R14",R_0805_2012Metric,C132320,3
10k,"R11,R2,R3",R_0805_2012Metric,C140868,3
24.9k,R7,R_0805_2012Metric,C155691,1
DF11,J2,CONN-TH_DF11-4DP-2DSA-08,C185144,1
20nF,C2,C_0805_2012Metric,C1853321,1
~,"D1,D2",SOD-123_L2.8-W1.8-LS3.7-RD,C21353,2
226k,R10,R_0805_2012Metric,C228638,1
USB_B_Micro,J1,MICRO-USB-SMD_5P-P0.65-H-F_105164-0001,C234179,1
GND,TP3,TestPoint_Keystone_5000-5004_Miniature,C238122,1
Amp Signal,"TP1,TP2,TP4,TP7",TestPoint_Keystone_5000-5004_Miniature,C238123,4
249,R1,R_0805_2012Metric,C276301,1
10uF,C4,C_0805_2012Metric,C307525,1
Conn_Coaxial,J3,SMA_Amphenol_901-144_Vertical,C376663,1
10pF,C1,C_0805_2012Metric,C519954,1
V+ Bias,"TP5,TP6,TP8",TestPoint_Keystone_5000-5004_Miniature,C5199900,3
MICROFC-60035-SMT-TR,U4,OPTO-SMD_4P-MICROFC-60035-SMT-TR,C603293,1
LT1807,U3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C665378,1
LT3461ES6-TRPBF,U2,TSOT-23_S6_LIT,C670573,1
47uH,L1,L1210,C701189,1
0.1uF,C7,C_0805_2012Metric,C77082,1
BLM18BD252SN1D,L2,L0603,C77668,1
10nF,"C10,C11,C12,C13",C_0805_2012Metric,C83170,4
0,"C3,R6",R0805,C96345,2
100k,"R4,R5",R_0805_2012Metric,C96346,2
